,user,song,play_count,total_play_count,fractional_play_count
22090,6326095256b355d4b4fa34771b7b524a1c4cc8f8,SOGTQNI12AB0184A5C,1,931,0.0010741138560687433
16700,222542d2ce54e6949f9346d331dd8a028b044826,SORNWVM12AF72A14ED,1,307,0.003257328990228013
17907,f0da5f1500f48e04e8162df28ebbeb1d5eca3cc9,SOZVVMJ12A58A7C548,2,166,0.012048192771084338
15783,767707cf1a42d06669186ae1fa31ff39427fbf60,SOPVQLJ12A67AE2281,1,1687,0.0005927682276229994
27029,78ff529b40fa23594d41b0ea65d74083d21474b8,SOYBHSI12A58A7D58B,20,411,0.04866180048661801
24221,0ab9d9f7925520801fffa8b63287d799cfe9a5a4,SOVHPUT12A81C22A56,4,400,0.01
33435,22f6aae94643c2cea285413068f80274e7f1f75e,SONHWUN12AC468C014,11,1696,0.006485849056603774
17926,cfd5725824fffc294548dbd8a237edc751e354dc,SOMCAFM12A58A7B024,4,242,0.01652892561983471
6604,eaa2b3c9e086a662ab15e10ca6211a3207f40a50,SOTWNDJ12A8C143984,13,792,0.016414141414141416
31830,02471b044e6bdff7c01e1ea2791214268ba5aaf4,SOTVJEN12A8C13B064,1,362,0.0027624309392265192
7660,ceb2cb3d77d5ff423d93b5b52c74df5b133cee95,SOXNZOW12AB017F756,1,468,0.002136752136752137
28898,6c2baa9bfea08ed197d38b9d1606aa5ca57e11ce,SOWWCNJ12A81C1FFA5,11,624,0.017628205128205128
33483,22f6aae94643c2cea285413068f80274e7f1f75e,SOSROFB12AAF3B4C5D,5,1696,0.00294811320754717
5796,2f72cbcbf49aac438f614626d86c5e93efb82206,SOWKVVW12A8AE45E8C,1,197,0.005076142131979695
6685,d446e7c921a102071026003e6baf3175afc535e8,SOUGCDK12AC95F075F,50,181,0.27624309392265195
24734,2be94fe8976330172517c748780600f38ff55c2c,SOGTDJQ12A8C13324F,1,1032,0.0009689922480620155
28115,2b8bfcdc258cdfe9dce9991d67786b3cebbc3b22,SOHTKMO12AB01843B0,5,789,0.0063371356147021544
4960,79a1ba30cec2ee1509f3c2df697916fe901b37e9,SOVMGXI12AF72A80B0,2,570,0.0035087719298245615
12641,1b7f854554b1720763e7b02470ba8d35b54c4358,SOTWNDJ12A8C143984,16,284,0.056338028169014086
34348,99dedd05d478e3aa54b199f4432fcb9907456b34,SOQWSHS12A6701C576,1,498,0.002008032128514056
3512,fef771ab021c200187a419f5e55311390f850a50,SOKNWRZ12A8C13BF62,5,186,0.026881720430107527
5757,2f72cbcbf49aac438f614626d86c5e93efb82206,SOOSDMO12A6D4F80F9,6,197,0.030456852791878174
27292,002b63a7e2247de6d62bc62f253474edc7dd044c,SOGSAYQ12AB018BA14,1,686,0.0014577259475218659
5918,3a6553c25f5dce3dbbbedc429496d40bf913e354,SOZZIOH12A67ADE300,2,124,0.016129032258064516
10978,c2d78d260f5bddc3fa2db228bb72ccae6ff7a8e1,SOLRGNF12AB0187CF4,3,1025,0.002926829268292683
2517,0b19fe0fad7ca85693846f7dad047c449784647e,SOWRREB12A6D4FA7CB,5,2177,0.0022967386311437757
26702,003a5e3285141b1a54edbc51fbfa1cc922023aae,SOYFQVR12AB018ACA5,10,655,0.015267175572519083
32334,eb75703cc9f9a33c4b1d2f7b3abf9a6be4c732aa,SOMLYJD12A58A7B155,3,45,0.06666666666666667
19129,3379f558a480a79694e02d7f5b079f9a647896b6,SOWRMTT12A8C137064,1,1040,0.0009615384615384616
2070,360dfc77809fc2f4a5863eb59bcf4191de6635ef,SOSUWJE12AB0184567,1,276,0.0036231884057971015
6831,9c6ebf1d5ba38bcb577149b22e19448f655f6252,SOLLNTU12A6701CFDC,10,852,0.011737089201877934
15411,bdfca47d03157d26f1404075172128a6f8a3d39e,SOZDGEW12A8C13E748,5,506,0.009881422924901186
36155,00fa0c8162aa95341f4da9defede8aae0675d3cc,SOZCDWG12A6D4F81E1,23,600,0.03833333333333333
5710,4bcc4cfd9acf7e19bbccd398f8503ba79fb66513,SOXPDDQ12A58A76829,2,635,0.0031496062992125984
